mπ,mK,mη,fπ,fK,fη,fϕ,mN,mL,mS,mX
248.61669872,474.59141411,521.96226114,98.71539793,111.43319215,117.16316876,109.10391961,1021.41084534,1131.25069368,1185.03738136,1267.9301414
249.61669872,474.40115397,521.63043389,98.78452879,111.44376269,117.14241089,109.12356746,1022.17532744,1131.55639966,1185.11977449,1267.66589411
250.61669872,474.20987018,521.29672506,98.85370675,111.45424883,117.12152897,109.14316152,1022.94182192,1131.86225571,1185.20136381,1267.39945749
251.61669872,474.0175593,520.96112601,98.92293067,111.46464955,117.10052243,109.16270088,1023.71032727,1132.16825754,1185.28214431,1267.1308241
252.61669872,473.82421783,520.62362803,98.99219938,111.47496384,117.07939071,109.18218464,1024.48084199,1132.47440084,1185.36211098,1266.85998644
253.61669872,473.62984228,520.2842223,99.06151174,111.48519065,117.05813324,109.20161188,1025.25336459,1132.78068133,1185.44125881,1266.58693705
254.61669872,473.43442914,519.94289995,99.13086658,111.49532898,117.03674946,109.22098167,1026.02789357,1133.08709469,1185.51958277,1266.31166843
255.61669872,473.23797483,519.59965202,99.20026275,111.50537777,117.01523879,109.2402931,1026.80442741,1133.39363662,1185.59707783,1266.0341731
256.61669872,473.0404758,519.25446946,99.26969911,111.51533599,116.99360064,109.25954525,1027.58296461,1133.70030281,1185.67373896,1265.75444357
257.61669872,472.84192844,518.90734313,99.33917448,111.5252026,116.97183445,109.27873718,1028.36350364,1134.00708893,1185.74956112,1265.47247231
258.61669872,472.64232913,518.55826384,99.40868772,111.53497654,116.94993962,109.29786796,1029.14604298,1134.31399067,1185.82453923,1265.18825184
259.61669872,472.44167421,518.20722229,99.47823766,111.54465676,116.92791556,109.31693666,1029.93058111,1134.6210037,1185.89866824,1264.90177462
260.61669872,472.23996001,517.85420909,99.54782316,111.5542422,116.90576167,109.33594235,1030.71711646,1134.92812367,1185.97194306,1264.61303313
261.61669872,472.03718282,517.49921479,99.61744306,111.56373179,116.88347737,109.35488407,1031.50564751,1135.23534624,1186.04435861,1264.32201984
262.61669872,471.83333893,517.14222983,99.68709619,111.57312446,116.86106204,109.3737609,1032.29617266,1135.54266706,1186.11590979,1264.02872721
263.61669872,471.62842457,516.78324457,99.75678141,111.58241914,116.83851507,109.39257187,1033.08869037,1135.85008177,1186.18659147,1263.73314769
264.61669872,471.42243596,516.4222493,99.82649755,111.59161474,116.81583586,109.41131605,1033.88319902,1136.15758598,1186.25639852,1263.43527372
265.61669872,471.21536929,516.05923419,99.89624346,111.60071017,116.79302378,109.42999247,1034.67969702,1136.46517532,1186.3253258,1263.13509774
266.61669872,471.00722073,515.69418934,99.96601797,111.60970434,116.77007822,109.44860018,1035.47818275,1136.77284539,1186.39336816,1262.83261216
267.61669872,470.79798642,515.32710476,100.03581993,111.61859615,116.74699855,109.46713821,1036.27865457,1137.08059178,1186.46052041,1262.5278094
268.61669872,470.58766246,514.95797036,100.10564818,111.6273845,116.72378414,109.48560561,1037.08111083,1137.38841007,1186.52677735,1262.22068187
269.61669872,470.37624494,514.58677597,100.17550155,111.63606828,116.70043436,109.5040014,1037.88554985,1137.69629583,1186.59213379,1261.91122196
270.61669872,470.16372991,514.21351131,100.24537889,111.64464637,116.67694856,109.52232461,1038.69196994,1138.00424462,1186.65658449,1261.59942206
271.61669872,469.95011339,513.83816602,100.31527903,111.65311765,116.6533261,109.54057426,1039.5003694,1138.31225196,1186.72012421,1261.28527454
272.61669872,469.73539139,513.46072965,100.38520081,111.66148099,116.62956634,109.55874938,1040.31074647,1138.62031338,1186.78274767,1260.96877176
273.61669872,469.51955987,513.08119163,100.45514306,111.66973525,116.60566862,109.57684898,1041.12309942,1138.92842439,1186.8444496,1260.64990607
274.61669872,469.30261476,512.69954132,100.52510463,111.6778793,116.58163228,109.59487207,1041.93742645,1139.23658048,1186.90522468,1260.32866982
275.61669872,469.08455199,512.31576796,100.59508434,111.68591199,116.55745665,109.61281766,1042.75372576,1139.54477713,1186.96506759,1260.00505533
276.61669872,468.86536742,511.92986072,100.66508102,111.69383217,116.53314108,109.63068476,1043.57199552,1139.85300978,1187.02397297,1259.67905492
277.61669872,468.64505691,511.54180865,100.73509352,111.70163868,116.50868488,109.64847236,1044.39223387,1140.16127387,1187.08193545,1259.35066089
278.61669872,468.42361628,511.15160069,100.80512065,111.70933034,116.48408739,109.66617946,1045.21443893,1140.46956483,1187.13894964,1259.01986553
279.61669872,468.20104132,510.75922571,100.87516126,111.716906,116.45934792,109.68380506,1046.03860878,1140.77787804,1187.19501011,1258.68666113
280.61669872,467.97732778,510.36467245,100.94521417,111.72436446,116.43446577,109.70134814,1046.86474147,1141.0862089,1187.25011141,1258.35103993
281.61669872,467.75247139,509.96792957,101.01527821,111.73170456,116.40944027,109.71880768,1047.69283504,1141.39455274,1187.30424808,1258.0129942
282.61669872,467.52646786,509.56898559,101.0853522,111.73892508,116.3842707,109.73618266,1048.52288747,1141.70290491,1187.35741462,1257.67251617
283.61669872,467.29931283,509.16782897,101.15543498,111.74602485,116.35895638,109.75347207,1049.35489672,1142.01126072,1187.4096055,1257.32959805
284.61669872,467.07100196,508.76444803,101.22552536,111.75300264,116.33349658,109.77067486,1050.18886072,1142.31961545,1187.46081516,1256.98423207
285.61669872,466.84153082,508.35883099,101.29562216,111.75985725,116.3078906,109.78779,1051.02477736,1142.62796438,1187.51103803,1256.6364104
286.61669872,466.610895,507.95096598,101.36572422,111.76658745,116.28213772,109.80481646,1051.86264451,1142.93630273,1187.56026849,1256.28612522
287.61669872,466.37909003,507.54084099,101.43583035,111.77319203,116.25623722,109.8217532,1052.70245996,1143.24462573,1187.60850091,1255.93336869
288.61669872,466.14611141,507.12844393,101.50593936,111.77966975,116.23018836,109.83859916,1053.54422152,1143.55292857,1187.65572962,1255.57813296
289.61669872,465.9119546,506.71376258,101.57605008,111.78601936,116.20399041,109.85535328,1054.38792691,1143.8612064,1187.7019489,1255.22041015
290.61669872,465.67661505,506.29678461,101.64616133,111.79223961,116.17764264,109.87201453,1055.23357385,1144.16945436,1187.74715303,1254.86019237
291.61669872,465.44008815,505.87749757,101.71627191,111.79832926,116.15114429,109.88858182,1056.08115999,1144.47766755,1187.79133624,1254.4974717
292.61669872,465.20236926,505.45588891,101.78638064,111.80428704,116.12449462,109.9050541,1056.93068296,1144.78584107,1187.83449273,1254.13224024
293.61669872,464.96345372,505.03194595,101.85648633,111.81011167,116.09769287,109.92143029,1057.78214033,1145.09396995,1187.87661666,1253.76449002
294.61669872,464.72333683,504.6056559,101.92658779,111.81580188,116.07073828,109.93770932,1058.63552963,1145.40204921,1187.91770217,1253.39421309
295.61669872,464.48201384,504.17700586,101.99668383,111.82135639,116.04363008,109.9538901,1059.49084835,1145.71007385,1187.95774335,1253.02140146
